original,es,emoji,uk,ru,de,it,fr,pt,zh-cn,th,ja,ko,ar,hi,bn,id,ur,vi,tr,fa,rw,ta,
Speaker Voice,Voz del altavoz,🧑📣👥🔈,Голос динаміка,Голос динамика,Lautsprecherstimme,Voce altoparlante,Voix du haut-parleur,Voz do alto-falante,扬声器声音,เสียงลำโพง,スピーカーの音声,스피커 음성,صوت المتحدث,स्पीकर की आवाज,স্পিকার ভয়েস,Suara speaker,صدای بلندگو,Giọng loa,Lautsprecherstimme,صدای بلندگو,Ijwi ry'ikibumbye,பேசகர் குரல்,
Singing,Cantando,🧑🎶,Спів,Пение,Gesang,Canto,Chant,Cantando,唱歌,การร้องเพลง,歌唱,노래,الغناء,गायन,গান,Menembang,Vocal,,Ca hát,Gesang,آوازخوانی,Kuvuga indirimbo,பாடல்
Pitch And Resonance,Pitch y Resonancia,🎵↕+🔊📳,Тон і резонанс,Тон и резонанс,Ton und Resonanz,Tensione e risonanza,Hauteur et résonance,Tom e Ressonância,音高和谐振,ความสูงและเรโซแนนซ์,ピッチと共鳴,피치 및 공명,نغمة ورنين,पिच और अनुनाद,পিচ এবং রেজোন্যান্স,Pitch dan Resonansi,زنگ و رزونانس,Tần số và cộng hưởng,Ton und Resonanz,زنگ و رزونانس,Impamvu n'urusaku,சவர்க்கம் மற்றும் அதிர்வெண்,
Voice Smoothness,Suavidad de voz,🧑🔊🧈,Гладкість голосу,Гладкость голоса,Gesprächigkeit,Fluidità vocale,Douceur de la voix,Suavidade da voz,语音平滑度,ความเรียบเนียนของเสียง,音声の滑らかさ,음성 매끄러움,نعومة الصوت,वॉइस स्मूदनेस,ভয়েস স্মুথনেস,Kekhalusan Suara,نرمی صدا,Sự mượt mà giọng nói,Stimmglätte,نرمی صدا,Ubworoherane bw'ijwi,குரல் மென்மை,
Female Voice,Voz femenina,♀️🧑🔊,Жіночий голос,Женский голос,Frauenstimme,Voce femminile,Voix féminine,Voz feminina,女性声音,เสียงผู้หญิง,女性の声,여성 음성,صوت أنثوي,महिला आवाज,মহিলা ভয়েস,Suara Wanita,صدای زن,Giọng nữ,Frauenstimme,صدای زن,Ijwi ry'umugore,பெண் குரல்,
Female Voice Resonance,Resonancia de voz femenina,♀️🧑🔊📳,Резонанс жіночого голосу,Резонанс женского голоса,Frauenstimmenresonanz,Risonanza voce femminile,Résonance de la voix féminine,Ressonância da voz feminina,女性声音共鸣,เรโซแนนซ์เสียงผู้หญิง,女性の声の共鳴,여성 음성 공명,Resonancia صوت أنثوى,महिला वॉइस अनुनाद,মহিলা ভয়েস রেজোন্যান্স,Resonansi Suara Wanita,رزونانس صدای زن,Cộng hưởng giọng nữ,Frauenstimmenresonanz,رزونانس صدای زن,Resonansi ijwi ry'umugore,பெண் குரல் ஒலிபெருக்கம்,
Male Voice,Voz masculina,♂️🧑🔊,Чоловічий голос,Мужской голос,Männerstimme,Voce maschile,Voix masculine,Voz masculina,男性声音,เสียงผู้ชาย,男性の声,남성 음성,صوت ذكوري,पुरुष आवाज,পুরুষ ভয়েস,Suara Pria,صدای مرد,Giọng nam,Männerstimme,صدای مرد,Ijwi ry'abagabo,ஆண் குரல்,
Male Voice Resonance,Resonancia de voz masculina,♂️️🧑🔊📳,Резонанс чоловічого голосу,Резонанс мужского голоса,Männerstimmenresonanz,Risonanza voce maschile,Résonance de la voix masculine,Ressonância da voz masculina,男性声音共鸣,เรโซแนนซ์เสียงผู้ชาย,男性の声の共鳴,남성 음성 공명,Resonancia صوت ذكوري,पुरुष वॉइस अनुनाद,পুরুষ ভয়েস রেজোন্যান্স,Resonansi Suara Pria,رزونانس صدای مرد,Cộng hưởng giọng nam,Männerstimmenresonanz,رزونانس صدای مرد,Resonansi ijwi ry'abagabo,ஆண் குரல் ஒலிபெருக்கம்,
Pitch,Tono,🎵↕,Тон,Тон,Ton,Intonazione,Ton,Tom,T音调,โทน,ピッチ,피치,نغمة,पिच,পিচ,Nada,نت,Độ cao,Pitch,زنگ,Impande,சவர்க்கம்,
First Formant,Primer formante,🔊📳1,Форманта 1,Первый формант,Erstes Formant,Primo formante,Premier formant,Primeiro formante,第一共振峰,รูปแบบแรก,第一フォーマント,첫 번째 포먼트,الصوت الأول,पहला फॉर्मेंट,প্রথম ফরম্যান্ট,Formant pertama,فرمانت اول,Vùng chung đầu,Formant ya mbere,முதல் வடிவம்,,,
Second Formant,Segundo formante,🔊📳2,Другий формант,Второй формант,Zweiter Formant,Secondo formante,Deuxième formant,Segundo formante,第二共振峰,โฟร์แมนต์ที่สอง,第二フォーマント,두 번째 포먼트,الفارمانت الثاني,दूसरा फॉर्मेंट,দ্বিতীয় ফরম্যান্ট,Forman kedua,دوسرا فارمینہ,Formant thứ hai,İkinci formant,فرمانت دوم,rw: Second Formant,இரண்டாம் வடிவம்,
AV First Formant,Formante AV primero,🧑🔊📳1,AV перший формант,AV первый формант,AV erster Formant,AV primo formante,AV premier formant,AV primeiro formante,AV 第一共振峰,AV โฟร์แมนต์แรก,AV 第一フォーマント,AV 첫 번째 포먼트,الفارمانت الأول AV,AV पहला फॉर्मेंट,AV প্রথম ফরম্যান্ট,Forman AV pertama,AV پہلا فارمینہ,AV formant đầu tiên,AV birinci formant,آوی فرمانت اول,rw: AV First Formant,AV முதல் வடிவம்,
AV Second Formant,Segundo formante AV,🧑🔊📳2,AV другий формант,AV второй формант,AV zweiter Formant,AV secondo formante,AV deuxième formant,AV segundo formante,AV 第二共振峰,AV โฟร์แมนต์ที่สอง,AV 第二フォーマント,AV 두 번째 포먼트,الفارمانت الثاني AV,AV दूसरा फॉर्मेंट,AV দ্বিতীয় ফরম্যান্ট,Forman AV kedua,AV دوسرا فارمینہ,AV formant thứ hai,AV ikinci formant,آوی فرمانت دوم,rw: AV Second Formant,AV இரண்டாம் வடிவம்,
Energy,Energía,⚡,Енергія,Энергия,Energie,Energia,Énergie,Energia,能量,พลังงาน,エネルギー,에너지,طاقة,ऊर्जा,শক্তি,Energi,توانائی,Năng lượng,Enerji,انرژی,rw: Energy,ஆற்றல்,
1st/2nd Harmonic Balance,Equilibrio armónico 1º/2º,🎵↕1⚖️🎵↕2,Баланс 1-го/2-го гармонік,Баланс 1-й/2-й гармоник,1./2. Harmonikausgleich,Bilanciamento armonico 1°/2°,Équilibre harmonique 1re/2e,Equilíbrio harmônico 1º/2º,1/2 次谐波平衡,สมดุลฮาร์มอนิกที่ 1/2,第1/2高調波バランス,1/2차 고조파 밸런스,توازن التوافقيات 1/2,1ली/2री हार्मोनिक संतुलन,১ম/২য় হারমোনিক ভারসাম্য,Keseimbangan harmonik 1/2,1/2 ہارمونک توازن,Cân bằng điều hoà bậc 1/2,1./2. harmonik dengesi,توازن هارمونیک 1/2,rw: 1st/2nd Harmonic Balance,1வது/2வது ஒசை சமநிலை,
Voice Weight,Peso de voz,🧑🔊⚖️,Вага голосу,Вес голоса,Stimmgewicht,Peso vocale,Poids de la voix,Peso da voz,声音重量,น้ำหนักเสียง,声の重さ,음성 무게,وزن الصوت,वॉइस वेट,ভয়েস ওজন,Berat suara,صوت کا وزن,Trọng lượng giọng nói,Ses ağırlığı,وزن صدا,rw: Voice Weight,குரல் எடை,
Harmonic to Noise Ratio,Relación armónico/ruido,🔊️🎵⚖️🔊⚠️,Співвідношення гармонік/шуму,Отношение гармоник к шуму,Harmonisch-zu-Rausch-Verhältnis,Rapporto armonica/rumore,Rapport harmonique/bruit,Relação harmônico/ruído,谐波与噪声比,อัตราส่วนฮาร์มอนิกต่อเสียงรบกวน,ハーモニクス対ノイズ比,고조파 대 잡음 비율,نسبة التوافقية إلى الضوضاء,हार्मोनिक टू नॉइज़ अनुपात,হারমোনিক-টু-নয়েজ অনুপাত,Rasio harmonik terhadap kebisingan,ہارمونک سے شور تناسب,Tỷ lệ điều hoà/tạp âm,Harmonik/gürültü oranı,نسبت هارمونیک به نویز,rw: Harmonic to Noise Ratio,ஒசை/சத்தம் விகிதம்,
BER Low,BER Bajo,🔊️⚡📉,BER низький,BER низкий,Niedriges BER,BER basso,BER faible,BER baixo,低比特错误率,BER ต่ำ,低BER,낮은 BER,BER منخفض,BER कम,BER কম,BER rendah,BER کم,BER thấp,Düşük BER,BER کم,rw: BER Low,குறைவு BER,
BER Medium,BER Medio,🔊️⚡➖,BER середній,BER средний,Mittleres BER,BER medio,BER moyen,BER médio,中等比特错误率,BER กลาง,中BER,중간 BER,BER متوسط,BER मध्यम,BER মাঝামাঝি,BER sedang,BER درمیانہ,BER trung bình,Orta BER,BER متوسط,rw: BER Medium,மத்திய BER,
BER High,BER Alto,🔊️⚡📈,BER високий,BER высокий,Hohes BER,BER elevato,BER élevé,BER alto,高比特错误率,BER สูง,高BER,높은 BER,BER مرتفع,BER उच्च,BER উচ্চ,BER tinggi,BER زیادہ,BER cao,Yüksek BER,BER زیاد,rw: BER High,உயர் BER,
H/L Ratio,Relación H/L,🔊️⚡📈⚖️🔊⚡📉,Співвідношення H/L,Соотношение H/L,H/L-Verhältnis,Rapporto H/L,Rapport H/L,Relação H/L,高低比率,อัตราส่วน H/L,H/L 比率,H/L 비율,نسبة H/L,H/L अनुपात,H/L অনুপাত,Rasio H/L,H/L تناسب,Tỷ lệ H/L,H/L Oranı,نسبت H/L,rw: H/L Ratio,H/L விகிதம்,
Voice detection,Detección de voz,🧑🔊🔍,Виявлення голосу,Обнаружение голоса,Spracherkennung,Rilevamento vocale,Détection vocale,Detecção de voz,语音检测,ตรวจจับเสียง,声検出,음성 감지,كشف الصوت,वॉइस डिटेक्शन,ভয়েস ডিটেকশন,Deteksi suara,صوت کی شناخت,Phát hiện giọng nói,Ses algılama,تشخیص صدا,rw: Voice detection,குரல் கண்டறிதல்,
Spectral Centroid,Centroide espectral,🏳️‍🌈📊🎯,Спектральний центроїд,Спектральный центроид,Spektral-Schwerpunkt,Centroide spettrale,Centroïde spectral,Centroide espectral,谱心,จุดศูนย์ถ่วงสเปกตรัม,スペクトル重心,스펙트럴 중심,مركز الطيف,स्पेक्ट्रल सेंट्रोइड,স্পেকট্রাল সেন্ট্রয়ড,Sentroid spektral,سپیکٹرل سینٹرائیڈ,Tâm quang phổ,Spektral merkez,مرکز طیفی,rw: Spectral Centroid,கதிர்வெட்டு மையம்,
Spectral Tilt,Inclinación espectral,🏳️‍🌈📊📐,Спектральний нахил,Спектральный наклон,Spektralneigung,Inclinazione spettrale,Inclinaison spectrale,Inclinação espectral,谱倾斜,เอียงสเปกตรัม,スペクトル傾斜,스펙트럴 틸트,انحدار طيفي,स्पेक्ट्रल टिल्ट,স্পেকট্রাল টিল্ট,Tilt spektral,سپیکٹرل ٹلٹ,Độ nghiêng quang phổ,Spektral eğim,شیب طیفی,rw: Spectral Tilt,கதிர்வெட்டு தளர்வு,
Spectral Spread,Dispersión espectral,🏳️‍🌈📊🌅,Спектральне розсіювання,Спектральный разброс,Spektralstreuung,Spread spettrale,Dispersion spectrale,Dispersão espectral,谱扩展,การกระจายสเปกตรัม,スペクトルスプレッド,스펙트럴 스프레드,انتشار طيفي,स्पेक्ट्रल स्प्रेड,স্পেকট্রাল স্প্রেড,Sebaran spektral,سپیکٹرل پھیلاؤ,Phân tán quang phổ,Spektral yayılım,گستردگی طیفی,rw: Spectral Spread,கதிர்வெட்டு பரப்பு,
Jitter,Jitter,🎲,Джиттер,Джиттер,Jitter,Jitter,Jitter,Jitter,抖动,จิตเตอร์,ジッター,지터,جتر,जिटर,জিটার,Jitter,جِٹر,Jitter,Jitter,جتر,rw: Jitter,ஜிட்டர்,
Shimmer,Brillo,✨,Блиск,Блеск,Schimmer,Lucentezza,Scintillement,Brilho,闪烁,ชิมเมอร์,シマー,섬머,وميض,शिमर,শিমার,Shimmer,شمر,Shimmer,Shimmer,شیممر,rw: Shimmer,ஒளிர்ச்சி,
Prosody,Prosodia,🎵↕⏱️,Просодія,Просодия,Prosodie,Prosodia,Prosodie,Prosódia,韵律,พรอสอดี,韻律,운율,علم النغم,प्रोसोडी,প্রসডি,Prosodi,Prosody,Ngữ điệu,Prozodi,آواشناسی,rw: Prosody,நெறிமுறைகள்,
Rythm (BPM),Ritmo (BPM),🥁⏱️,Ритм (BPM),Ритм (BPM),Rhythmus (BPM),Ritmo (BPM),Rythme (BPM),Ritmo (BPM),节奏 (BPM),จังหวะ (BPM),リズム (BPM),리듬 (BPM),إيقاع (BPM),रिदम (BPM),রিদম (BPM),Ritme (BPM),دھڑکن (BPM),Nhịp (BPM),Ritim (BPM),ریتم (BPM),rw: Rythm (BPM),இசை (BPM),
Clarity,Claridad,⚪💡,Чіткість,Чёткость,Klarheit,Chiarezza,Clarté,Clareza,清晰度,ความชัดเจน,明瞭度,명료도,وضوح,स्पष्टता,স্বচ্ছতা,Kejelasan,وضاحت,Độ rõ,Berraklık,وضوح,rw: Clarity,த் தெளிவு,
Duration of Pauses,Duración de pausas,⏸️⏱️,Тривалість пауз,Длительность пауз,Dauer der Pausen,Durata delle pause,Durée des pauses,Duração de pausas,停顿时长,ระยะเวลาหยุด,ポーズの長さ,일시 중지 시간,مدة التوقفات,विराम की अवधि,থামার দৈর্ঘ্য,Durasi jeda,وقفوں کی دورانیہ,Thời lượng dừng,Duraklama süresi,مدت مکث,rw: Duration of Pauses,இடைநிறுத்த நேரம்,
Zoom,Zoom,🔍,Збільшення,Увеличить,Zoomen,Zoom,Zoom,Zoom,缩放,ซูม,ズーム,확대,تكبير,ज़ूम,জুম,Zoom,زوم,Phóng to,Yakınlaştır,بزرگنمایی,rw: Zoom,செருகல்,
Start recording,Iniciar grabación,⏺️,Почати запис,Начать запись,Aufnahme starten,Avvia registrazione,Démarrer l'enregistrement,Iniciar gravação,开始录制,เริ่มบันทึก,録音開始,녹음 시작,ابدأ التسجيل,रिकॉर्डिंग शुरू करें,রেকর্ডিং শুরু করুন,Mulai merekam,ریکارڈنگ شروع کریں,Bắt đầu ghi âm,Kaydı başlat,شروع ضبط,rw: Start recording,பதிவை தொடங்கு,
Spectrogram,Espectrograma,🏳️‍🌈📊️⏱️,Спектрограма,Спектрограмма,Spektrogramm,Spettrogramma,Spectrogramme,Espectrograma,频谱图,สเปกโทรแกรม,スペクトログラム,스펙트로그램,مخطط طيفي,स्पेक्ट्रोग्राम,স্পেক্ট্রোগ্রাম,Spektrogram,اسپیکٹروگرام,Biểu đồ quang phổ,Spektrogram,نمای طیفی,rw: Spectrogram,அலைவகுநோக்கம்,
Energy Spectrogram,Espectrograma de energía,⚡🏳️‍🌈📊️⏱️,Енергетична спектрограма,Энергетическая спектрограмма,Energie-Spektrogramm,Spettrogramma energetico,Spectrogramme d'énergie,Espectrograma de energia,能量频谱图,สเปกโทรแกรมพลังงาน,エネルギースペクトログラム,에너지 스펙트로그램,مخطط طيفي للطاقة,ऊर्जा स्पेक्ट्रोग्राम,এনার্জি স্পেক্ট্রোগ্রাম,Spektrogram energi,توانائی اسپيڪٹروگرام,Biểu đồ quang phổ năng lượng,Enerji spektrogramı,نمای طیفی انرژی,rw: Energy Spectrogram,ஆற்றல் அலைவகுநோக்கம்,
Reset,Restablecer,🔄,Скинути,Сброс,Zurücksetzen,Reimposta,Réinitialiser,Redefinir,重置,รีเซ็ต,リセット,리셋,إعادة تعيين,रीसेट,রিসেট,Atur ulang,ری سیٹ,Đặt lại,Sıfırla,بازنشانی,rw: Reset,மீட்டமை,
Measure everything,Medir tod0,📏🌐,Виміряти все,Измерить всё,Alles messen,Misura tutto,Mesurer tout,Medir tudo,测量所有,วัดทุกอย่าง,すべて測定,모두 측정,قياس كل شيء,सब कुछ मापें,সব মাপুন,Ukur semuanya,ہر چیز ماپیں,Đo mọi thứ,Her şeyi ölç,همه چیز را اندازه بگیرید,rw: Measure everything,அனைத்தையும் அளவு,
Note Graph,Gráfico de notas,🎼,Графік нот,График нот,Notengrafik,Grafico delle note,Graphique des notes,Gráfico de notas,音符图,กราฟโน้ต,ノートグラフ,노트 그래프,مخطط النوتات,नोट ग्राफ,নোট গ্রাফ,Grafik nada,نوٹ گراف,Đồ thị nốt,Nota grafiği,نمودار نت,rw: Note Graph,குறிப்பு வரைபடம்,
Recording,Grabando,⏺️🔴,Запис,Запись,Aufnahme,Registrazione,Enregistrement,Gravação,录制中,กำลังบันทึก,録音中,녹음 중,جاري التسجيل,रिकॉर्डिंग,রেকর্ডিং,Merekam,ریکارڈنگ,Đang ghi,Kaydediliyor,در حال ضبط,rw: Recording,பதிவு,
Scroll,Desplazar,📱👆↔️,Прокрутка,Прокрутка,Scrollen,Scorri,Faire défiler,Rolar,滚动,เลื่อน,スクロール,스크롤,تمرير,स्क्रॉल,স্ক্রোল,Gulir,سکرول,Cuộn,Kaydır,اسکرول,rw: Scroll,ஸ்க்ரோல்,
Rename,Renombrar,✏️,Перейменувати,Переименовать,Umbenennen,Rinomina,Renommer,Renomear,重命名,เปลี่ยนชื่อ,名前を変更,이름 바꾸기,إعادة تسمية,नाम बदलें,নাম পরিবর্তন,Ganti nama,نام تبدیل کریں,Đổi tên,Yeniden adlandır,تغییر نام,rw: Rename,பெயரை மாற்று,
Cancel,Cancelar,❌,Скасувати,Отмена,Abbrechen,Annulla,Annuler,Cancelar,取消,ยกเลิก,キャンセル,취소,إلغاء,रद्द करें,বাতিল,Batal,منسوخ کریں,Hủy,İptal,لغو,rw: Cancel,ரத்துசெய்,
Warning,Advertencia,⚠️,Попередження,Предупреждение,Warnung,Avviso,Avertissement,Aviso,警告,คำเตือน,警告,경고,تحذير,चेतावनी,সতর্কতা,Peringatan,انتباہ,Cảnh báo,Uyarı,هشدار,rw: Warning,எச்சரிக்கை,
Delete,Eliminar,🗑️,Видалити,Удалить,Löschen,Elimina,Supprimer,Excluir,删除,ลบ,削除,삭제,حذف,हटाएं,মুছুন,Hapus,حذف کریں,Xóa,Sil,حذف,rw: Delete,அழி,
Ok,Aceptar,✅,Гаразд,Ок,OK,OK,OK,OK,确定,ตกลง,OK,확인,حسناً,ठीक है,ঠিক আছে,OK,ٹھیک ہے,Đồng ý,Tamam,باشه,rw: Ok,சரி,
for,para,➡️,для,для,für,per,pour,para,为,สำหรับ,のために,위해,لـ,के लिए,জন্য,untuk,کے لیے,cho,için,برای,rw: for,க்காக,
